Time;RealGDP;IP;Energy;Quality;RealPE;CDD;HDD;Population
1992-1;9066.388563;63.8916;7.072885994;1;3.572559724;66.03826302;335.5306552;255331
1992-2;9112.924481;64.3381;7.066415938;1.00202371;3.379919108;69.41735031;255.4345283;255576
1992-3;9189.205205;64.902;7.089127275;0.994123756;3.364543441;71.59255483;384.2442307;255848
1992-4;9196.017246;65.3746;7.192703671;0.988267617;3.352888832;79.63003737;373.8771888;256139
1992-5;9163.348052;65.5902;7.120943566;0.988246257;3.417757682;100.7365097;390.3487455;256437
1992-6;9310.912145;65.6132;7.087635184;0.994194455;3.619507363;84.53743101;406.9567548;256742
1992-7;9318.619717;66.1891;7.110574786;0.996074345;3.699749669;72.05951296;401.6615912;257063
1992-8;9299.682945;65.8651;6.940984072;1.004426759;3.721092828;86.58450971;405.1597974;257390
1992-9;9321.021653;66.0268;7.155885074;0.994521137;3.722582828;77.00462341;392.9756602;257704
1992-10;9376.473195;66.511;7.209955764;1.001359082;3.879613916;75.55348691;408.970023;258004
1992-11;9392.598835;66.8027;7.215862718;0.999138606;3.735730792;65.73469926;408.6756937;258280
1992-12;9450.024398;66.8587;7.350969379;1.00007312;3.613703015;66.71291537;419.3046821;258546
1993-1;9416.816492;67.1432;6.994443139;0.997819535;3.623970521;65.08325701;344.1306748;258799
1993-2;9433.610243;67.4314;7.22905019;0.991063706;3.630747379;64.67346156;442.8513808;259036
1993-3;9421.230828;67.3651;7.522476976;0.98732858;3.617270545;69.05933951;441.6853294;259283
1993-4;9445.19635;67.5583;7.265620391;0.996317513;3.582903994;68.85466497;399.0926009;259547
1993-5;9490.992787;67.3459;7.032951098;1.007737635;3.570815505;71.91300698;365.8088072;259822
1993-6;9503.573804;67.4753;7.207067651;0.997208673;3.432256108;83.72475962;399.6613355;260109
1993-7;9472.971769;67.6707;7.261185117;0.997100349;3.404509043;9.314696716;396.8197205;260411
1993-8;9514.373585;67.5985;7.242183558;0.992180931;3.325643995;11.97308246;387.8862541;260717
1993-9;9591.109797;67.9241;7.297521451;0.995022665;3.318765523;52.0653777;406.0524269;261015
1993-10;9574.402104;68.439;7.308961517;0.989925043;3.294937379;68.4003068;411.2437867;261294
1993-11;9675.394956;68.7289;7.413742403;0.987941622;3.18241552;62.64462692;421.3622767;261550
1993-12;9710.16619;69.0884;7.339183664;0.988689445;3.033282465;66.03670207;417.2208648;261796
1994-1;9712.732807;69.3476;7.595967899;0.98211574;3.018891299;66.16877167;509.4455455;262021
1994-2;9757.590242;69.3617;7.543751108;0.985951176;3.060166487;66.94670931;435.7136125;262237
1994-3;9773.578093;70.0831;7.387303172;0.989397868;3.05022685;67.14516994;372.5982589;262491
1994-4;9811.357371;70.4425;7.347008772;0.993851541;3.104936184;65.35227502;319.024322;262754
1994-5;9936.133612;70.824;7.276160209;0.993581801;3.194001394;58.37636933;405.0884307;263014
1994-6;9896.155248;71.2811;7.537238264;0.983944446;3.277212598;107.5003094;380.9277379;263294
1994-7;9911.367729;71.3953;7.322963538;0.994686695;3.405166652;75.30607513;388.5384949;263580
1994-8;9972.017289;71.8011;7.374083275;0.998770715;3.316773242;79.9865154;394.907104;263871
1994-9;9935.092609;72.0617;7.361610656;0.995883403;3.191656463;61.08117234;379.6571747;264159
1994-10;10030.53458;72.6829;7.382943665;0.998301691;3.158619553;55.02436138;380.0187405;264430
1994-11;10023.34284;73.1379;7.270881273;1.004217286;3.236753638;66.45219064;320.1211127;264681
1994-12;10103.22574;73.8818;7.351106465;1.003103907;3.223764697;67.51896577;316.1721942;264924
1995-1;10129.23471;74.0142;7.287872152;1.000884385;3.215996224;68.26925942;327.5531561;265157
1995-2;10040.10191;73.9247;7.44899334;0.998898812;3.244059546;70.18393521;388.3428812;265383
1995-3;10090.78947;74.0284;7.45445042;0.998933055;3.214913719;66.23346368;336.3633167;265625
1995-4;10075.01462;74.014;7.492339385;0.992758353;3.205739881;62.2467653;398.7613927;265877
1995-5;10099.0834;74.2239;7.548194119;0.99610598;3.22091797;51.93712337;403.2749773;266134
1995-6;10191.77461;74.4807;7.577691735;1.001788371;3.239018515;49.13874972;389.596657;266414
1995-7;10149.82981;74.1902;7.548020492;0.991070896;3.080673783;59.06057697;384.1965105;266700
1995-8;10196.61411;75.1211;7.811072406;0.987567372;3.048771404;51.05324255;379.804365;266998
1995-9;10279.41489;75.4216;7.619051048;0.997480742;3.064588607;85.06326029;390.2885394;267304
1995-10;10253.03777;75.3448;7.550121153;1.009123452;3.045216679;83.57720915;340.8806665;267585
1995-11;10252.31726;75.531;7.722228765;0.99872277;3.058195779;76.59619406;430.7058146;267829
1995-12;10338.2099;75.8317;7.736427726;0.998631358;3.241626628;69.91997819;462.2837218;268047
1996-1;10327.07432;75.3347;7.801732819;0.999807841;3.364410607;70.07895424;422.912682;268258
1996-2;10331.22051;76.5148;8.017955417;1.001434016;3.371273988;66.71676135;405.0389902;268480
1996-3;10387.8349;76.4339;7.894346821;0.999678805;3.538120776;66.34848107;482.6659452;268724
1996-4;10537.44782;77.1163;7.748974867;1.003621905;3.62335451;76.59690801;377.5414906;268980
1996-5;10496.09175;77.695;7.854485053;0.999661854;3.497360686;82.12405058;386.5359881;269247
1996-6;10554.61764;78.3435;7.783352249;0.993208794;3.45853642;90.37829459;379.1234859;269527
1996-7;10598.39528;78.208;7.617742444;0.999358341;3.580104731;117.5257866;385.3503386;269822
1996-8;10614.9417;78.6658;7.729218563;0.998947941;3.555940663;86.27652276;377.4251399;270130
1996-9;10666.74484;79.1997;7.61852675;0.992997513;3.481281593;37.75575304;384.591347;270433
1996-10;10748.81895;79.1389;7.938638774;1.001226665;3.596102724;61.73243219;383.7470617;270730
1996-11;10761.93463;79.8221;7.980669323;0.987844436;3.717250482;65.25174665;454.8240933;271002
1996-12;10706.07294;80.3307;7.764358078;0.99155725;4.092213164;65.20308385;351.2604447;271243
1997-1;10714.25784;80.4255;7.880958909;0.994567664;4.187874932;66.04637108;406.4470889;271472
1997-2;10879.98326;81.4045;7.773737572;0.993511997;3.677874474;67.74425848;358.955141;271703
1997-3;10868.15831;81.9717;7.694824262;0.994616594;3.443589421;71.54483768;314.3836831;271952
1997-4;10972.83704;82.0209;7.908194903;0.992939815;3.208686513;68.05244096;424.1509269;272213
1997-5;10937.31876;82.5095;7.848353816;0.99236958;3.329842803;132.7759421;416.5547525;272482
1997-6;11041.94418;82.9253;7.767313714;0.995698711;3.295225263;66.56785778;379.3851538;272767
1997-7;11087.57191;83.5464;7.931411039;0.995427932;3.281032432;29.67737794;378.7328262;273074
1997-8;11119.40119;84.434;7.736585219;0.996805309;3.384600251;72.43715773;380.7056246;273395
1997-9;11164.62573;85.1978;7.893889457;0.992581754;3.361184131;113.5342551;375.2722519;273703
1997-10;11195.99159;85.9177;8.005779301;0.989499018;3.473058229;70.48790622;376.3566401;273989
